1,1,0.01639344262295082,BoulwareNegotiationParty@28,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 17])
11,1,0.18032786885245902,BoulwareNegotiationParty@28,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 17])
11,2,0.18032786885245902,ConcederNegotiationParty@29,(Offer  bid:Bid[price: 1200, HardDisk: 512gb, Monitor: 15])
12,1,0.19672131147540983,BoulwareNegotiationParty@28,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 17])
12,2,0.19672131147540983,ConcederNegotiationParty@29,(Offer  bid:Bid[price: 1200, HardDisk: 512gb, Monitor: 15])
13,1,0.21311475409836064,BoulwareNegotiationParty@28,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 17])
13,2,0.21311475409836064,ConcederNegotiationParty@29,(Offer  bid:Bid[price: 1200, HardDisk: 512gb, Monitor: 15])
14,1,0.22950819672131148,BoulwareNegotiationParty@28,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 17])
14,2,0.22950819672131148,ConcederNegotiationParty@29,(Offer  bid:Bid[price: 1200, HardDisk: 512gb, Monitor: 17])
15,1,0.2459016393442623,BoulwareNegotiationParty@28,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 17])
15,2,0.2459016393442623,ConcederNegotiationParty@29,(Offer  bid:Bid[price: 1200, HardDisk: 512gb, Monitor: 17])
16,1,0.26229508196721313,BoulwareNegotiationParty@28,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 17])
16,2,0.26229508196721313,ConcederNegotiationParty@29,(Offer  bid:Bid[price: 1200, HardDisk: 512gb, Monitor: 17])
17,1,0.2786885245901639,BoulwareNegotiationParty@28,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 17])
17,2,0.2786885245901639,ConcederNegotiationParty@29,(Offer  bid:Bid[price: 1200, HardDisk: 1tb, Monitor: 15])
18,1,0.29508196721311475,BoulwareNegotiationParty@28,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 17])
18,2,0.29508196721311475,ConcederNegotiationParty@29,(Offer  bid:Bid[price: 1200, HardDisk: 1tb, Monitor: 15])
19,1,0.3114754098360656,BoulwareNegotiationParty@28,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 17])
19,2,0.3114754098360656,ConcederNegotiationParty@29,(Offer  bid:Bid[price: 1200, HardDisk: 1tb, Monitor: 15])
20,1,0.32786885245901637,BoulwareNegotiationParty@28,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 17])
20,2,0.32786885245901637,ConcederNegotiationParty@29,(Offer  bid:Bid[price: 1200, HardDisk: 1tb, Monitor: 17])
21,1,0.3442622950819672,BoulwareNegotiationParty@28,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 17])
21,2,0.3442622950819672,ConcederNegotiationParty@29,(Offer  bid:Bid[price: 1200, HardDisk: 1tb, Monitor: 17])
22,1,0.36065573770491804,BoulwareNegotiationParty@28,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 17])
22,2,0.36065573770491804,ConcederNegotiationParty@29,(Offer  bid:Bid[price: 1200, HardDisk: 1tb, Monitor: 17])
23,1,0.3770491803278688,BoulwareNegotiationParty@28,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 17])
23,2,0.3770491803278688,ConcederNegotiationParty@29,(Offer  bid:Bid[price: 1000, HardDisk: 256gb, Monitor: 15])
24,1,0.39344262295081966,BoulwareNegotiationParty@28,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 17])
24,2,0.39344262295081966,ConcederNegotiationParty@29,(Offer  bid:Bid[price: 1000, HardDisk: 256gb, Monitor: 15])
25,1,0.4098360655737705,BoulwareNegotiationParty@28,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 17])
25,2,0.4098360655737705,ConcederNegotiationParty@29,(Offer  bid:Bid[price: 1000, HardDisk: 256gb, Monitor: 15])
26,1,0.4262295081967213,BoulwareNegotiationParty@28,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 17])
26,2,0.4262295081967213,ConcederNegotiationParty@29,(Offer  bid:Bid[price: 1000, HardDisk: 256gb, Monitor: 15])
27,1,0.4426229508196721,BoulwareNegotiationParty@28,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 17])
27,2,0.4426229508196721,ConcederNegotiationParty@29,(Offer  bid:Bid[price: 1000, HardDisk: 256gb, Monitor: 17])
28,1,0.45901639344262296,BoulwareNegotiationParty@28,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 17])
28,2,0.45901639344262296,ConcederNegotiationParty@29,(Offer  bid:Bid[price: 1000, HardDisk: 256gb, Monitor: 17])
29,1,0.47540983606557374,BoulwareNegotiationParty@28,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 17])
29,2,0.47540983606557374,ConcederNegotiationParty@29,(Offer  bid:Bid[price: 1000, HardDisk: 256gb, Monitor: 17])
30,1,0.4918032786885246,BoulwareNegotiationParty@28,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 17])
30,2,0.4918032786885246,ConcederNegotiationParty@29,(Offer  bid:Bid[price: 1000, HardDisk: 256gb, Monitor: 17])
31,1,0.5081967213114754,BoulwareNegotiationParty@28,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 17])
31,2,0.5081967213114754,ConcederNegotiationParty@29,(Offer  bid:Bid[price: 1000, HardDisk: 512gb, Monitor: 15])
32,1,0.5245901639344263,BoulwareNegotiationParty@28,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 17])
32,2,0.5245901639344263,ConcederNegotiationParty@29,(Offer  bid:Bid[price: 1000, HardDisk: 512gb, Monitor: 15])
33,1,0.5409836065573771,BoulwareNegotiationParty@28,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 17])
33,2,0.5409836065573771,ConcederNegotiationParty@29,(Offer  bid:Bid[price: 1000, HardDisk: 512gb, Monitor: 15])
34,1,0.5573770491803278,BoulwareNegotiationParty@28,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 17])
34,2,0.5573770491803278,ConcederNegotiationParty@29,(Offer  bid:Bid[price: 1000, HardDisk: 512gb, Monitor: 15])
35,1,0.5737704918032787,BoulwareNegotiationParty@28,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 17])
35,2,0.5737704918032787,ConcederNegotiationParty@29,(Offer  bid:Bid[price: 1000, HardDisk: 512gb, Monitor: 15])
36,1,0.5901639344262295,BoulwareNegotiationParty@28,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 17])
36,2,0.5901639344262295,ConcederNegotiationParty@29,(Offer  bid:Bid[price: 1000, HardDisk: 512gb, Monitor: 17])
37,1,0.6065573770491803,BoulwareNegotiationParty@28,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 17])
37,2,0.6065573770491803,ConcederNegotiationParty@29,(Offer  bid:Bid[price: 1000, HardDisk: 512gb, Monitor: 17])
38,1,0.6229508196721312,BoulwareNegotiationParty@28,(Offer  bid:Bid[price: 1200, HardDisk: 1tb, Monitor: 17])
38,2,0.6229508196721312,ConcederNegotiationParty@29,(Accept  bid:Bid[price: 1200, HardDisk: 1tb, Monitor: 17])
agreement,Bid[price: 1200, HardDisk: 1tb, Monitor: 17],0.8478146482540853,0.4005401348117944
